occupation,number_of_workers_all,median_weekly_earnings_all,number_of_workers_men,median_weekly_earnings_men,number_of_workers_women,median_weekly_earnings_women,year,l4,l3,l2,l1,l0
Bartenders,216,522,103,634,113,459,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Bartenders
"Combined food preparation and serving workers, including fast food",169,379,66,384,102,373,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,"Combined food preparation and serving workers, including fast food"
"Counter attendants, cafeteria, food concession, and coffee shop",60,349,19,0,41,0,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,"Counter attendants, cafeteria, food concession, and coffee shop"
Waiters and waitresses,826,436,283,501,542,415,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Waiters and waitresses
"Food servers, nonrestaurant",111,502,47,0,64,495,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,"Food servers, nonrestaurant"
Dining room and cafeteria attendants and bartender helpers,151,451,73,509,78,420,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Dining room and cafeteria attendants and bartender helpers
Dishwashers,128,368,101,364,27,0,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,Dishwashers
"Hosts and hostesses, restaurant, lounge, and coffee shop",62,433,9,0,53,418,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop"
"Food preparation and serving related workers, all other",3,0,1,0,2,0,2014,Total,Service occupations,Food preparation and serving related occupations,Food preparation and serving related occupations,"Food preparation and serving related workers, all other"
Building and grounds cleaning and maintenance occupations,3568,480,2331,517,1236,413,2014,,,,,
First-line supervisors of housekeeping and janitorial workers,153,596,89,720,64,500,2014,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,First-line supervisors of housekeeping and janitorial workers
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",91,717,90,716,1,0,2014,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
Janitors and building cleaners,1598,502,1160,540,438,415,2014,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,Janitors and building cleaners
Maids and housekeeping cleaners,816,401,131,404,685,400,2014,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,Maids and housekeeping cleaners
Pest control workers,64,653,62,653,1,0,2014,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,Pest control workers
Grounds maintenance workers,847,459,800,454,47,0,2014,Total,Service occupations,Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,Grounds maintenance workers
Personal care and service occupations,2326,487,632,607,1695,455,2014,,,,,
First-line supervisors of gaming workers,93,789,51,810,43,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,First-line supervisors of gaming workers
First-line supervisors of personal service workers,73,567,27,0,46,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,First-line supervisors of personal service workers
Animal trainers,10,0,6,0,3,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Animal trainers
Nonfarm animal caretakers,89,489,29,0,60,452,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Nonfarm animal caretakers
Gaming services workers,78,627,47,0,31,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Gaming services workers
Motion picture projectionists,3,0,3,0,0,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Motion picture projectionists
"Ushers, lobby attendants, and ticket takers",6,0,2,0,4,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,"Ushers, lobby attendants, and ticket takers"
Miscellaneous entertainment attendants and related workers,69,473,41,0,28,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Miscellaneous entertainment attendants and related workers
Embalmers and funeral attendants,7,0,5,0,2,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Embalmers and funeral attendants
"Morticians, undertakers, and funeral directors",17,0,14,0,3,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,"Morticians, undertakers, and funeral directors"
Barbers,42,0,39,0,3,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Barbers
"Hairdressers, hairstylists, and cosmetologists",284,482,12,0,271,476,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,"Hairdressers, hairstylists, and cosmetologists"
Miscellaneous personal appearance workers,166,432,22,0,144,422,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Miscellaneous personal appearance workers
"Baggage porters, bellhops, and concierges",66,633,58,664,9,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,"Baggage porters, bellhops, and concierges"
Tour and travel guides,19,0,9,0,10,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Tour and travel guides
Childcare workers,406,442,21,0,385,444,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Childcare workers
Personal care aides,667,434,133,465,534,425,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Personal care aides
Recreation and fitness workers,167,599,76,716,91,521,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Recreation and fitness workers
Residential advisors,22,0,8,0,14,0,2014,Total,Service occupations,Personal care and service occupations,Personal care and service occupations,Residential advisors
